comentario,Valor,nombreAspecto
"solicito que amplien el servicio de biblioteca, y  mas accesibilidad a los horarios.",Negativo,Estrategia Académica
falta de comunicacion y apoyo a la carrera de contabilidad y finanzas del 6to ciclo en los horarios y otras cosas mas que podrian ayudarnos a progresar,Negativo,Estrategia Académica
la calidad de docentes es baja. la falta de seriedad de servicios que ofrecen en ventas.,Negativo,Docentes
a la buena enseñanza de algunos profesores.,Positivo,Docentes
mejorar la docencia en wa,Negativo,Docentes
la calidad del docente.,Positivo,Docentes
"infraestructura, tecnología,  profesores, nuevos métodos de enseñanza y más exigencia de cursos",Negativo,Estrategia Académica
"disponibilidad de horarios, el sistema de matricula es pesimo, los cursos electivos de la carrera no son lo adecuados.",Negativo,Estrategia Académica
la educaciob y la infraestructura aunque la ubicacion podria mejorar,Positivo,Estrategia Académica
"lo que mas valoro es el empeño y excelencia de los profesores, ya que tienen un mba, ademas que su infraestructura es buena y es aceptsble para todos, y sobre los eventos wue se realizan tsmbien",Positivo,Docentes
"buena estructura,  profesores profesionales.",Positivo,Docentes
"la infraestructura de la universidad, colocar mas ascensores y ampliar mas las areas tanto de la biblioteca como otras. realizar mas conferencias",Negativo,Estrategia Académica
"la parte administrativa es un desorden, especialmente la coordincion del wa, no son serios, la coordindora es tajante y no tiene trato, hemos tenido muchos problemas con la matricula, luego con la compra del libro, que luego de un mes conseguimos, deben cambiar la coordinacion de esa area. los profesores estan muy bien pero la coordinacion deja mal a la universidad.",Positivo,Docentes
"la calidad de los profesores, los beneficios que brinda la universidad.",Positivo,Docentes
la calidad de la ensenanza,Positivo,Estrategia Académica
el servicio. y la calidad de los docentes,Positivo,Estrategia Académica
la exigencia academica,Positivo,Estrategia Académica
las aulas no deben tener tantos alumnos,Negativo,Estrategia Académica
la metodologia de enseñanza,Positivo,Docentes
"respaldo y asesoría en casos de bajo rendimiento ""sin perjudicar el avace acedemico"". restringir a 2 cursos por ciclo en los alumnos en riesgo sin evaluar cada cso individual, es desamparar al alumno.",Negativo,Estrategia Académica
no sobrepasar los limites de inscripcion por aula afecta clases en el laboratorio por excederse de alumns inscritos,Negativo,Estrategia Académica
"el nivel de enseñanza, no tanto por los profesores sino que al recibir alumnos con bajo nivel, los maestros no pueden dar el maximo, observo que para mis compañeros mejor profesor es el que deja plajear o sin hacer mucho te pone alta nota. por lo demas , estoy contenta",Negativo,Percepción General
"la calidad de enseñanza de la mayoria de los profes, el implemeto en laboratorios",Positivo,Docentes
las asesorías  de los docentes,Positivo,Docentes
el sistema de evaluacion,Negativo,Estrategia Académica
"acomodar los horarios, mayor limpieza en los baños y mas áreas para estudiar",Positivo,Estrategia Académica
"algunos aspectos en la malla curricular, algunos profesores con mayor experiencia para desenvolverse mejor en las clases",Negativo,Docentes
la puntualidad,Positivo,Percepción General
convenios para wa,Negativo,Percepción General
los docentes calificados,Positivo,Docentes
que los profesores no falten mucho. el problema es para recuperar esas clases.  mayor dificultad a los cursos,Negativo,Docentes
me encanta la enseñanza mas aun el ambiente lo unico que pidiria es que mejoren en los sistemas en la matriculamas que nada aumentenaulas . gracias :),Positivo,Docentes
los horarios porque deben pensar siempre que uno trabaja y yo creo que eso seria nuestro bienestar y la manera como nos atienden en secretaria académica porque aveces no nos dan ni información .,Positivo,Estrategia Académica
asistencia de profesores.,Positivo,Docentes
la ensenanza de los profesores que se hagan entender en la explicacion de las clases,Negativo,Docentes
la calidad en la enseñanza,Positivo,Estrategia Académica
deberi mejor en ejemplo las copias la upn de la sede de c3 los maestros entrgan la copia de actividades mientras en la sede de c1 nos hacen imprimir las hojas creo que deberia cambiar un poc con este tema,Negativo,Percepción General
"la enseñanza, y el buen estar .aunque debería haber mas centros de esparcimiento.",Positivo,Docentes
la enseñansa que nos brindan los maestros,Positivo,Docentes
"la seriedad, los profesores de carrera tambien son demasiado buenos, igual hay cosas que mejorar, el contenido virtual en clase.",Positivo,Docentes
creo todo esta conforme,Positivo,Percepción General
la ensenanza,Positivo,Estrategia Académica
mejores horarios ya que dejan trabajar y de eso depende la continuidad de mis estudios,Negativo,Estrategia Académica
"me gustaria que los profesores sean mas apasionados en sus clases,tuve la oportunidad de asistir a lima norte la sede de c3 y hay una gran diferencia muy aparte del tamaño y la estructura,son los profesores son mucho mejor halla que en lima centro ,espero que mejore por que esta sede esta muy cerca de mi casa.tambien quiero añadir con respecto a la biblioteca no hay muchos libros en lo que coresponde a la carrera de psicologia.",Negativo,Docentes
que es una universidad que te da beneficiosos y conocimiento en los estudiantes,Negativo,Percepción General
porque la competencia academica no es alta,Negativo,Estrategia Académica
"en cuanto a profesores, mas creativos",Negativo,Docentes
"mas elevadores, mejores profesores y mejorar la biblioteca y comedor",Negativo,Docentes
"la infraestructura, nivel academico",Positivo,Docentes
el nivel de los docentes,Positivo,Docentes
la calida de los profesores y la mas areas de esparcimiento y cultura,Negativo,Docentes
deben mejorar-elevar el nivel academico,Negativo,Estrategia Académica
"los profesores, ya que tienes bastante experiencia laboran en distintas universidades de lima.",Positivo,Docentes
"las experiencias que nos plasman los procesos, solo faltaria un poco de paciencia para explicar, gracias.",Positivo,Estrategia Académica
"en este ciclo, faltas de los profesores deberiamos contar con un reemplazo.  servicios higienicos huelen mal, no hay papel.",Negativo,Estrategia Académica
compromiso para el aprendizaje,Negativo,Estrategia Académica
la oportunidad de los horarios y la calidad de ensenanza,Positivo,Estrategia Académica
valoro el interes que tiene la universidad en saber nuestra opinion y si nos sentimos a gusto en ella,Positivo,Percepción General
en la enseñanza que nos brindan y también en el buen servicio.,Positivo,Estrategia Académica
docentes y infraestructura,Positivo,Docentes
calidae de enseñanza de los docentes,Negativo,Docentes
la enseñanza y las facilidades que nos brinda para poder aprender.,Positivo,Estrategia Académica
"los espacios para cada areaampliarlos mas, realizar una filtracion de profesores el cual ese profesor haya enseñado anteriormente el curso que dicta",Positivo,Docentes
los profesores no tienen el mismo nivel de enseñanza.,Negativo,Docentes
la universidad es muy desorganizada en todo aspecto.,Negativo,Percepción General
optimización del sistema de matricula y horarios en orden.,Negativo,Estrategia Académica
malla de estudios,Negativo,Estrategia Académica
la enseñanza de los profesores y el trato entre profesor y estudiante,Positivo,Docentes
en quitar las áreas verdes.   en contratar a ese personal de caferteria que no da buena atencion.  los horarios de 6to ciclo no nos dejan escoger mucho.,Negativo,Estrategia Académica
"la calidad de enseñanza, pero me gustaría aportar en cuestión de los horarios deberían de ayudarnos con horarios fijos o flexibles para poder trabajar sobre todo para los últimos ciclos de la universidad.",Positivo,Estrategia Académica
varias cosas,Negativo,Percepción General
en los proyectos que dicen,Negativo,Percepción General
exigencia,Negativo,Percepción General
lo que valoro muchisimo es lo que nos brinda la universidad dia a dia yq que eso me alienta a continuar con mucho entusiasmo.,Positivo,Percepción General
la exigencia de los docentes,Negativo,Percepción General
"horarios no flexibles, mala atencion al cliente",Negativo,Estrategia Académica
"implementar lugares recreativos y salas gesell ,asi como convenios para realizar investigaciones",Negativo,Estrategia Académica
#¿NOMBRE?,Negativo,Docentes
los profesores no imponen respeto.  los horarios no son factibles.  la cafeteria tiene roedores.  cafeteria muy pequeña.  biblioteca mucho ruido.  alumnos que fuman en el ascensor.  no suben las notas a tiempo.  el asensor malogrado.  etc.,Negativo,Docentes
el concesionario y los horarios,Negativo,Estrategia Académica
los profesores no tiene una buena metodologia de enseñanza y hay mucho desorden en las aulas.,Negativo,Docentes
que la enseñanza es buena en los profesores.,Positivo,Docentes
"la calidad de enseñanza,aunque algunos profesores no estan al nivel de otros, eso no permite que coloque un 10,deben evaluar bien a los profesores.",Positivo,Docentes
"atencion al alumno, uno mas personalizado.  calidad en los prodesores. hay muchos casos en los que me ha tocado un profesor que no sabe llegar al alumno.",Negativo,Docentes
las clases me encantanğŸ˜ğŸ˜ğŸ˜ğŸ˜,Positivo,Estrategia Académica
"infraestructura, mayor alternativa de horarios, etc",Positivo,Estrategia Académica
"la infraestructura que tiene , la metodologia de enseñanza",Positivo,Docentes
espacio y horarios,Negativo,Estrategia Académica
en mucho.... faltan libros en la biblioteca......no hay espacio para almorzar...... no hay facilidades economicas para el universitario y demas,Negativo,Percepción General
los convenios. la red laureate.,Positivo,Percepción General
"contratar a mejores profesores, mas dinamicos",Positivo,Docentes
"en la orgamizacion a la hora de generar los horarios, es un desastre",Negativo,Estrategia Académica
requiere mejora y constante capacitación en cuanto al personal.  faltan mas ascensores   flexiliblidad y apoyo por parte de los profesores,Negativo,Docentes
"mejorar el servicio en la cafetería del campus, también deberían ampliar el área de la biblioteca. los horarios deberían no ser hasta tan tarde.",Negativo,Estrategia Académica
"mejorar los horarios para poder desempeñar nuestras practicas,",Negativo,Estrategia Académica
la calidad en la enseñanza y lo económico de las pensiones,Positivo,Estrategia Académica
la clase de los profesores,Positivo,Estrategia Académica
horarios cortados de clase. ya que estudiantes desean trabajar a partir del 4 y 5to ciclo. no deberia haber inconvenientes ni cruce de horarios con trabajo.,Negativo,Estrategia Académica
"limpieza en los servicios higienicos,  algunos profesores osea no es cuestion de probar a estos son los alumnos si no tener la certeza de que son buenos y responsables, faltan actualizar los codigos y aumentar los libros .",Negativo,Docentes
algunos profesores no tienen buena metodología,Negativo,Docentes
la calidad de los docentes contratados no es la idonea,Negativo,Docentes
"por favor seleccionar bien la case de profesores que nos brindan, ya que lamenablemente uno de ellos se aprovecho de la confianza pidiend dinero.",Negativo,Docentes
los profesores son excelentes,Positivo,Docentes
docentes,Positivo,Docentes
"de que los profesores son buenos tiemen formas imteresantes de como llegar al alumno, en general a mi parecer todo esta ok",Positivo,Docentes
mas horarios disponibles  mas salas de estudios,Negativo,Estrategia Académica
la señal de internet  la seguridad a los alrededores  los horarios,Negativo,Estrategia Académica
"mas clases teórico practicas,  docentes con mayor experiencia en educación para adultos,  mayor grado de investigación en tareas, beneficios de viajes para wa....",Negativo,Docentes
"el nivel de los profesores ha bajado en los ultimos 2 años. se habia dejado de auditar las clases, asimismo las encuestas a los profesores deberia ser casi terminando el curso y no ao comienzo para poder dar una opinion valida del desempeño del profesor tambien se deben incrementar las horas de labortorio y cuidar mas los momentos de examenes.la mayoria copia.",Negativo,Docentes
"mejora de horarios , tambien mas talleres de empleabilidad.",Positivo,Estrategia Académica
siempre aumentan la pensión y no hay mejoras.,Negativo,Percepción General
no hay laboratorios de automatización.  deseamos un pequeña planta industrial en la sede o laboratorio de simulacion de planta.  visitas tecnicas a empresas por cada curso para aprender de manera mas real en que se basan nuestros cursos de carrera y como se utiliza en la realidad,Negativo,Estrategia Académica
en el programa de working adult falta aumentar nivel de exigencia y seleccionar mejor a los docentes,Negativo,Docentes
los materiales de estudio visitas a empresas salidas a campo de trabajo mejora de laboratorios y opciones de horarios,Negativo,Estrategia Académica
la metodologia y la malla curriculaar,Positivo,Estrategia Académica
haber conseguido un mejor trabajo gracias a lo aprendido,Positivo,Estrategia Académica
la profesora no es equitativa al momento de ensenar,Negativo,Docentes
"cada año existen mas alumnos y los ascensores siguen siendo los mismos tres que al inicio. deberían implementar más. además de eso, tengo clase los viernes (e-bussines) y toda la clase trata sobre computación, pagina web, etc. tan solo nos han dado 2 horas de poder estar en las salas de computación, cuando en realidad necesitamos las 4 horas ya que en ese corto tiempo no aprendemos nada y lo poco que aprendemos no lo podemos poner en practica.",Negativo,Estrategia Académica
la calidad de enseñanza y exigencia.,Positivo,Docentes
el tiempo,Positivo,Estrategia Académica
la enseñanza que brindan,Positivo,Estrategia Académica
calidad,Positivo,Estrategia Académica
"horarios, docencia y cafeteria",Negativo,Docentes
"dispensadores de agua  mejoras de aulas y cordinacion en las matriculas , mejor atencion",Positivo,Estrategia Académica
la calias de la enseñanza y la promoción de valores por medio de las actividades extracurriculares,Positivo,Estrategia Académica
"la atencion a los estudiantes al momento de pedir informes  o hacer consultas , a su vez contratar a profesores especializados en la materia ,ya que  hay profesores que no estan completamente  informados del curso o no lo saben.",Positivo,Docentes
deben cumplir lo que dicen,Negativo,Percepción General
"en los horarios, tienen que estar parejos porque estando en ciclos avanzados uno no puede hacer sus practicas",Negativo,Estrategia Académica
en taller,Negativo,Docentes
las recomndciones,Negativo,Percepción General
"recibo una buena educacion con buenos profesores, y valoro que el precio de las pensiones no sean tan altas como en otras universidades, ya que esto permite recibir una buena educacion con profesores de calidad a para la sociedad , deberian implementar un gimnasio",Positivo,Docentes
"cursos dinamicos, facilidad en tiempo.  favor de colocar bebederos de agua",Positivo,Estrategia Académica
la excelente enseñanza de los profesores.,Positivo,Docentes
l metodologia,Positivo,Estrategia Académica
es una buena universidad ya nos brinda una educación superior de una buena nivel y tenemos una buena infraestructura y equipo tecnológico,Positivo,Estrategia Académica
la calidad de clases,Positivo,Estrategia Académica
mas facilidades en los horarios para las personas que trabajan y que aun no pueden estar en working.,Negativo,Estrategia Académica
"los profesores,  su método de enseñanza",Positivo,Docentes
"horarios, baño, ascensor, wi fi bloqueado,",Positivo,Estrategia Académica
la metodologia y la preparacion del docente,Positivo,Docentes
"la calidad de enseñanza, pero algunas ocasiones hay docentes    que son regulares.",Positivo,Docentes
lo que valora es la ensenanza de cada profesor que da en cada clase la forma su preparacion y responsabilidad con el alumno,Positivo,Docentes
"considero que los profesores no estan correctamente calificados, deberian haber una mejor seleccion.",Negativo,Docentes
valoro los profesores y su ensenansa,Positivo,Docentes
"no hay internet, no hay comprension con los coordinadores, los profesores son despotas , obviamente que no todos , pero una profesora si , la coordinora no te ayuda , harol terronr era un buen coordinador, lastima que se fue!",Negativo,Docentes
implementar más profesores que enseñen bien y nos dejen leer más.,Negativo,Docentes
horarios mas accesibles para las personas de 6 ciclo que sea en la mañana,Negativo,Estrategia Académica
en los horarios; algponer buenos horarios; algunas asesorias y profesore,Negativo,Estrategia Académica
la enseñanza  y que mejore en la cacha tiene que ser sintética y gracias por el taller del taekwondo   y gracias por el apoyo que noa dan,Positivo,Docentes
los horarios.,Negativo,Estrategia Académica
tener oportunidades para crecer en el ámbito academico,Positivo,Estrategia Académica
horarios flexibles de acuerdo a las personas que trabajan,Positivo,Estrategia Académica
la preocupacion por el bienestar de sus alumnos,Positivo,Percepción General
no pensé  que aumentaría la pensión.,Negativo,Percepción General
que es una universidad regular,Positivo,Percepción General
en algunos profesores la emsenanza,Negativo,Docentes
"lo que me ofrecieron inicialmente no se cumplio, la universidad crecio y con ello los problemas, falta de cocheras, caos en los baños, subieron la pension sin sustento, en general una mala experiencia",Negativo,Percepción General
profesores con experiencia,Positivo,Docentes
"los cambios los cambios realizados para la distribución de  cursos y las medidas dadas se deberían realizar, comunicar y difundir con mucha anterioridad.   las practicas asi como loas visitas que sedeverían realizar como trabajo de campo practica entre curspos no se han realizado, asi como los cursos que son necesariamente para laboratorio no se tiene. no hay talleres de practica. clases practicas no hay o se realizan en tiempos muy cortos que no aprovecha el alumnado.",Negativo,Estrategia Académica
su sistema es pesimo conla nivel de enseñaza baja,Negativo,Estrategia Académica
calidad doce trabajo,Negativo,Docentes
una universidad ordenada.limpia que cuenta con los espacios para brindar la educación que ofrece,Negativo,Percepción General
su tecnologia y c6recimiento a pasos agintados,Positivo,Percepción General
el prestigio que va tomando año a año,Positivo,Percepción General
"que es muy acojedor,",Positivo,Percepción General
los servicios que brindan en la biblioteca son escasos no se puede llevar más de un libro y el tiempo de devolución tiene que ser en 2 días no se puede sacar los libros de etiqueta roja tampoco hay buenos profesores algunos tienen preferencia por ciertos alumnos y la nota es mucho mayor. así mismo existe más simpatía con alumnos hacia los profesores   los profesores sólo mandan a leer las lecturas y no hacen tanta clase   deberían poner cursos de oratoria y cursos que ayuden a la carrera de derecho   bajar la mensualidad y que exista una valorización económica en la mensualidad,Negativo,Docentes
pedagogía los profesoress,Negativo,Docentes
el compañerismo y los profesores. pero la algunos profes si deberían ser mas controlados. los reincidentes especialmente,Positivo,Docentes
bajar la cantidad de alumnos por aula debido al saturamirnto,Negativo,Estrategia Académica
"en calidad de docentes, cocheras,",Negativo,Docentes
contratacion de profesores,Negativo,Docentes
creo que deberia habilitar el turno noche en pre grado hasta las 10pm,Negativo,Estrategia Académica
la calidad de educación.,Positivo,Estrategia Académica
"flexibilidad de horarios, estaciomnamiento.",Negativo,Estrategia Académica
la buena enseåˆanza de los profesores,Positivo,Docentes
"docentes no solo con conocimientos sino con capacidad de enseñar.    horario de atencion, variedad de libros, acceso a paginas web de investigacion y mayor cobertura de internet en biblioteca.    evaluacion para los nuevos ingresos de estudiantes.    central telefonica es pesima. nunca hay un resultado.    mejor coordinacion para publicar los feriados en que no se consideran clases.    clases perdidas en feriados deben recuperarse porque son parte del pago que realizamos y a veces no se abarca toda la curricula",Negativo,Docentes
"algunos profesores,  tienen un trato pedante. el trato.",Negativo,Docentes
la calidad educativa,Positivo,Estrategia Académica
en la malla curicular,Negativo,Estrategia Académica
la mayora de docente que han pasado por el aula han sido muy profesionales,Positivo,Docentes
en la disponibilidad de los cursosx,Negativo,Estrategia Académica
los profesores y el metodo de evaluacion,Positivo,Docentes
"metoologia en cursos especificos, mas imfomacion de temas,",Negativo,Docentes
los maestros de algunas materias.,Negativo,Docentes
"los horarios para los ultimos ciclos, como los de 5 y 6 to, que sean mas uniformes",Negativo,Estrategia Académica
los doscentes no todos son buenos,Negativo,Docentes
"el poder llevar clases de reforzamientos para los diversos cursos, adicionar visitas a emprensar, coordinar con otras sedes de nuestro mismo programa, llevar el curso de ingles como parte de la malla curricular",Negativo,Estrategia Académica
los conocimientos adquiridos,Positivo,Estrategia Académica
que respeten el tiempo que ofrecieron en wa !,Positivo,Percepción General
ia enseñanza,Positivo,Estrategia Académica
"horarios más accesibles, hay muchos estudiantes como yo que necesitamos trabajar para cubrir nuestros estudios y los horarios que brindan son demasiao inacsesibles para ello. y la cafeteria es mala la atencion y los productos que frecen",Negativo,Estrategia Académica
"no contamos con docentes calificados, ya que no ayudan al desempeño de los alumnos.  cualquiera pasa sin estudiar.",Negativo,Docentes
el nivel academico,Positivo,Percepción General
"deberían colocar otro concesionario de comida ya que el que esta en este momento no varia su menú y cocinan horrible hoy día justo hicieron arroz chaufa y el huevo estaba quemado y solo era arroz con sillao y huevo, cambiar nuestros horarios a uno fijo para poder hacer practicas ya que estamos en 6 to ciclo y colocar un semáforo porque no cuando cruzar la pista",Negativo,Estrategia Académica
"la limpieza de los salones , baños etc. y la enseñanza por parte de los docentes.",Positivo,Docentes
"ampliar varios ambientes debido a la cantidad de gente que somos y sobretodo fomentar mas los talleres extras, mas horarios",Negativo,Estrategia Académica
"los profesores deben de usar diferentes estrategias de ensenanzas, y no solo leer las ppt",Positivo,Docentes
"infraestructura , docentes y capacidad de alumnado",Positivo,Docentes
la buena plana docente,Positivo,Docentes
"bebederos en cada piso minimo 2, que no dejen entrar a alumnos sin las minimas bases de educacion, mas cobertura de wifi, el consorsio de la cafeteria sea limpio, que mis compañeros no fumen marihuana",Negativo,Percepción General
los cursos son buenos.,Positivo,Estrategia Académica
"en los horarios, nos brindaron una informacion al inicio que no se cumplio",Negativo,Percepción General
la calidad d enseñansa,Positivo,Docentes
los trabajos en equipo,Positivo,Estrategia Académica
comprobar que los profesores tengan métodos de enseñanza que logren llegar a los alumnos.,Positivo,Docentes
sugerencias para poner a algun profesor en particular para los cursos de calculo.,Negativo,Docentes
infraestructura y enseñanza,Positivo,Estrategia Académica
"la metodología de enseñanza usada , los recursos dispuestos y las instalaciones necesarias para efectuar diferentes asuntos",Positivo,Docentes
los horarios,Positivo,Estrategia Académica
las experencias,Positivo,Estrategia Académica
"hacer caso a las quejas, capacitar al personal de atencion al cliente, habilitar mas aulas de maquetas, faltan ascensores, habilitar mas horarios, que habiliten mas librerias, y cafeterias, que arquitectura sea en los primeros pisos. el wifi es muy lento.",Negativo,Percepción General
lo que es laboratorio y mayor nivel de enseñanza  por que es muy bajo para un nivel universitario,Negativo,Percepción General
"que mejoren los horarios, que sean accesibles para que los alumnos tambien puedan conseguir buenos empleos.",Negativo,Estrategia Académica
"los horarios . a los que queremos trabajar para poder pagar nuestros estudios , no se nos permite por los horarios",Negativo,Estrategia Académica
l calidad de los profesores,Positivo,Docentes
las mejoras en la infrastructura y buenos docentes,Positivo,Docentes
las horas de clases son muy pocas,Negativo,Estrategia Académica
su sistema de horario y que haya mas personal para tante gente que hay en  la u,Negativo,Estrategia Académica
k calidd,Positivo,Percepción General
su infraestructura y la calidad de docentes,Positivo,Docentes
la dinmica de estudio,Positivo,Estrategia Académica
valoro la enseñanza y la calidad de prestigio,Positivo,Docentes
"horarios, cafeteria, capacidad para el ingreso masivo.",Negativo,Estrategia Académica
que tiene buenos profesores y dan conferencias  que no en todas las universidades  brindan,Positivo,Docentes
"horarios mejor elaborados, ya que necesitamos ver prácticas de nuestras carreras.",Negativo,Estrategia Académica
"quisiera que el nivel de exigencia academico sea mas alto, que se cumpla siempre el silabus y que en el tema de pensiones si el alumno debe haya en upn centro la opción de financiamiento como en la de c3 para n perder la opción de matricularse.",Negativo,Estrategia Académica
la enseñansa,Positivo,Docentes
1. faltan laboratorios  2. los cursos no son tan exigentes.,Negativo,Percepción General
la enseñanza que dan los profesores la actitud que tienen sobre todo que tiene de todo y estoy super comoda,Positivo,Docentes
